"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"AMPHENOL_10029449-001RLF";1;"HDMI_A_1.4";;;
2;"CLK+";"TestPoint_Pad_D1.0mm";1;"CLK+";;;
3;"U5";"LQFP-144_20x20mm_P0.5mm";1;"STM32H753ZITx";;;
4;"C20,C22,C35,C36,C39,C40,C41,C42";"C_0805_2012Metric";8;"1u";;;
5;"C44,C45";"C_0805_2012Metric";2;"27p";;;
6;"C46,C47";"C_0805_2012Metric";2;"15p";;;
7;"R8";"R_0805_2012Metric";1;"240";;;
8;"Y1";"Crystal_SMD_Abracon_ABM7-2Pin_6.0x3.5mm";1;"OSC";;;
9;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"OSC_32";;;
10;"C1";"C_0805_2012Metric";1;"4.7u";;;
11;"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C15,C16,C17,C18,C19,C21,C23,C24,C25,C27,C28,C29,C30,C31,C33,C34,C37,C38,C43,C48,C49";"C_0805_2012Metric";33;"100n";;;
12;"C14,C26,C32";"C_0805_2012Metric";3;"10u";;;
13;"D1";"LED_0805_2012Metric";1;"5V Rail LED";;;
14;"D2";"LED_0805_2012Metric";1;"3.3V Rail LED";;;
15;"D3";"LED_0805_2012Metric";1;"1.2V Rail LED";;;
16;"D4";"LED_0805_2012Metric";1;"USR_LED";;;
17;"FB1,FB2,FB3";"R_0805_2012Metric";3;"1k@100MHz";;;
18;"R1";"R_0805_2012Metric";1;"510";;;
19;"R2";"R_0805_2012Metric";1;"330";;;
20;"R3,R4,R10";"R_0805_2012Metric";3;"4.7k";;;
21;"R5";"R_0805_2012Metric";1;"120";;;
22;"R6";"R_0805_2012Metric";1;"680";;;
23;"R7";"R_0805_2012Metric";1;"4.06k";;;
24;"SW1";"PTS645SM43SMTR92_Switch";1;"Push Switch";;;
25;"U1";"SOT-223-3_TabPin2";1;"AZ1117-5.0";;;
26;"U2";"SOT-223-3_TabPin2";1;"AZ1117-3.3";;;
27;"U3";"SOT-223-3_TabPin2";1;"AZ1117-1.2";;;
28;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
29;"J3";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Conn_02x03_Odd_Even";;;
30;"USB VIN";"TestPoint_Pad_D1.0mm";1;"USB_VIN";;;
31;"USB D+";"TestPoint_Pad_D1.0mm";1;"USB1_D+";;;
32;"USB D-";"TestPoint_Pad_D1.0mm";1;"USB1_D-";;;
33;"+5V";"TestPoint_Pad_D1.0mm";1;"+5V";;;
34;"+3V3";"TestPoint_Pad_D1.0mm";1;"+3V3";;;
35;"R Cr 7";"TestPoint_Pad_D1.0mm";1;"R_CR_7";;;
36;"+1V2";"TestPoint_Pad_D1.0mm";1;"+1V2";;;
37;"CSCL";"TestPoint_Pad_D1.0mm";1;"CSCL";;;
38;"CSDA";"TestPoint_Pad_D1.0mm";1;"CSDA";;;
39;"R Cr 0";"TestPoint_Pad_D1.0mm";1;"R_CR_0";;;
40;"G Y 7";"TestPoint_Pad_D1.0mm";1;"G_Y_7";;;
41;"G Y 0";"TestPoint_Pad_D1.0mm";1;"G_Y_0";;;
42;"B Cb 7";"TestPoint_Pad_D1.0mm";1;"B_CB_7";;;
43;"OSC";"TestPoint_Pad_D1.0mm";1;"OSC_IN";;;
44;"B Cb 0";"TestPoint_Pad_D1.0mm";1;"B_CB_0";;;
45;"OSC 32";"TestPoint_Pad_D1.0mm";1;"OSC32_IN";;;
46;"D2+";"TestPoint_Pad_D1.0mm";1;"D2+";;;
47;"D2-";"TestPoint_Pad_D1.0mm";1;"D2-";;;
48;"CLK-";"TestPoint_Pad_D1.0mm";1;"CLK-";;;
49;"SCL";"TestPoint_Pad_D1.0mm";1;"SCL";;;
50;"SDA";"TestPoint_Pad_D1.0mm";1;"SDA";;;
51;"DE";"TestPoint_Pad_D1.0mm";1;"DE";;;
52;"HSYNC";"TestPoint_Pad_D1.0mm";1;"HSYNC";;;
53;"VSYNC";"TestPoint_Pad_D1.0mm";1;"VSYNC";;;
54;"IDCK";"TestPoint_Pad_D1.0mm";1;"IDCK";;;
55;"U4";"TQFP-100-1EP_14x14mm_P0.5mm_EP5x5mm";1;"SiI1136";;;
56;"R9";"R_0805_2012Metric";1;"10k";;;
