"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6";"LQFP-176_24x24mm_P0.5mm";1;"STM32H745IITx";;;
2;"U5";"TQFP-100-1EP_14x14mm_P0.5mm_EP5x5mm";1;"SiI1136";;;
3;"CSCL";"TestPoint_Pad_D1.0mm";1;"CSCL";;;
4;"CSDA";"TestPoint_Pad_D1.0mm";1;"CSDA";;;
5;"C2,C13,C57,C58,C59,C60";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"4.7u";;;
6;"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C49,C51,C21,C23,C24,C25,C26,C27,C14,C15,C16,C17,C18,C19,C20,C38,C40,C41,C42,C43,C44,C46,C47,C55,C65,C66,C67,C63,C64";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";49;"100n";;;
7;"C1,C48,C50";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1u";;;
8;"C52,C53,C54";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"2.2u";;;
9;"C22,C39,C45";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10u";;;
10;"C56";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"22u";;;
11;"C61,C62";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10p";;;
12;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5V_LED";;;
13;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3V3_LED";;;
14;"D7";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1V2_LED";;;
15;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_IND0";;;
16;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_IND1";;;
17;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_IND2";;;
18;"D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_OK";;;
19;"D8";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_WARN";;;
20;"D9";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED_ERR";;;
21;"FB1,FB2,FB3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1k@100MHz";;;
22;"J1,J2";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";2;"USB_B_Micro";;;
23;"J3";"AMPHENOL_10029449-001RLF";1;"HDMI_A";;;
24;"L1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.7u";;;
25;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"510";;;
26;"R2,R20,R19";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10k";;;
27;"R7,R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"330";;;
28;"R3,R4,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"4.7K";;;
29;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"27k";;;
30;"R8,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"2k";;;
31;"R10,R11,R12,R13,R14,R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"680";;;
32;"R18";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.06k";;;
33;"R17";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"400";;;
34;"D+";"TestPoint_Pad_D1.0mm";1;"USB_D+";;;
35;"D-";"TestPoint_Pad_D1.0mm";1;"USB_D-";;;
36;"+5";"TestPoint_Pad_D1.0mm";1;"+5V";;;
37;"VSYNC";"TestPoint_Pad_D1.0mm";1;"VSYNC";;;
38;"+33";"TestPoint_Pad_D1.0mm";1;"+3V3";;;
39;"+12";"TestPoint_Pad_D1.0mm";1;"+1V2";;;
40;"CEC";"TestPoint_Pad_D1.0mm";1;"CEC";;;
41;"DSCL";"TestPoint_Pad_D1.0mm";1;"DSCL";;;
42;"DSDA";"TestPoint_Pad_D1.0mm";1;"DSDA";;;
43;"HSYNC";"TestPoint_Pad_D1.0mm";1;"HSYNC";;;
44;"IDCK";"TestPoint_Pad_D1.0mm";1;"IDCK";;;
45;"DE";"TestPoint_Pad_D1.0mm";1;"DE";;;
46;"U2";"SOT-23-5";1;"TPS613222ADBVR";;;
47;"U3";"SOT-223-3_TabPin2";1;"ZLDO1117G33TA";;;
48;"U1";"TSOP-II-54_22.2x10.16mm_P0.8mm";1;"IS42S16400J-7TL";;;
49;"U4";"SOT-223-3_TabPin2";1;"ZLDO1117G12TA";;;
50;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"40MHZ/8PF";;;
51;"SW1,SW2";"PTS645SM43SMTR92_Switch";2;"RESET";;;
52;"J4";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"Conn_02x03_Odd_Even";;;
53;"+VIN";"TestPoint_Pad_D1.0mm";1;"USB_VIN";;;
54;"Q1";"SOT-23";1;"ZXMN2A01F";;;
55;"R21";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100";;;
56;"R22";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1M";;;
